workbook_row,state_abbr,city,strict_25,strict_25_60,broad_25,broad_25_60,otp_25,geocode_status,residential_25,residential_25_60,inpatient_25,inpatient_25_60,detox_25,detox_25_60,php_25,php_25_60,iop_25,iop_25_60,adolescent_25,adolescent_25_60,young_adult_25,young_adult_25_60,women_25,women_25_60,men_25,men_25_60,pregnant_25,pregnant_25_60,veterans_25,veterans_25_60,seniors_25,seniors_25_60,criminal_justice_25,criminal_justice_25_60,eating_disorder_25,eating_disorder_25_60,tbi_25,tbi_25_60,first_episode_psychosis_25,first_episode_psychosis_25_60,alzheimers_25,alzheimers_25_60
113,ME,Bangor,9,8,29,25,2,OK,6,2,2,1,3,1,0,0,2,5,3,0,10,1,11,6,10,4,7,3,8,4,9,2,11,4,2,1,1,1,0,0,0,0
114,ME,Lewiston,10,34,28,84,1,OK,5,14,2,2,2,9,2,3,3,16,3,3,7,16,9,31,11,29,8,23,6,25,11,21,9,22,2,6,1,6,2,2,1,1
115,MD,Baltimore,224,238,356,398,28,OK,102,96,25,27,64,57,90,74,107,106,44,57,173,192,181,160,187,165,99,105,180,166,175,187,194,179,53,54,48,33,24,35,30,28
116,MD,Rockville,146,291,233,481,11,OK,65,122,17,34,30,83,55,103,53,147,34,67,114,243,93,243,93,249,48,150,95,232,96,246,95,261,35,73,19,59,20,35,13,39
117,MD,Frederick,49,382,82,623,5,OK,23,162,6,45,8,99,12,144,28,172,18,84,48,297,43,282,46,289,26,167,35,275,44,281,48,293,10,87,4,67,5,49,4,42
118,MD,Annapolis,138,288,227,484,18,OK,57,127,12,37,33,79,47,107,69,129,27,74,108,238,110,210,111,221,69,119,111,222,116,225,124,231,36,73,32,50,20,36,23,36
119,MD,Salisbury,19,28,37,63,3,OK,4,8,1,3,5,8,4,6,13,23,7,9,10,29,14,22,15,26,6,21,8,32,14,36,14,31,3,10,5,14,5,2,0,13
120,MD,Hagerstown,37,168,60,294,1,OK,12,72,4,23,6,39,5,69,20,76,14,41,35,143,34,118,33,120,26,63,24,119,30,133,33,129,8,41,2,33,2,28,3,20
121,MA,Boston,116,145,181,274,8,OK,52,61,18,23,26,39,51,47,33,52,18,32,69,115,77,114,81,118,61,87,71,112,74,107,75,117,30,39,31,36,16,22,15,19
122,MA,Worcester,47,269,83,463,6,OK,25,120,3,45,7,71,20,94,12,91,11,50,40,176,39,195,40,207,32,136,37,187,36,184,39,201,16,59,18,65,6,31,8,32
123,MA,Springfield,38,169,79,278,2,OK,18,75,7,18,8,33,12,65,12,67,10,38,31,123,29,128,30,138,17,94,28,116,23,122,32,128,8,34,11,45,3,15,4,21
124,MA,Fall River,54,175,106,275,7,OK,26,76,10,22,15,37,11,78,18,60,13,33,39,121,47,123,49,132,35,91,45,112,39,115,52,122,14,39,13,44,5,18,7,22
